query_id,query,category,answer,sources,word_count,latency_ms,model_version,expected_keywords
1,What is the return policy?,policy,"The return policy includes a 30-day money-back guarantee on all paid plans. If you are not satisfied within 30 days of your first payment, you can request a full refund by contacting billing@company.com. Refunds will be processed back to the original payment method within 5 to 10 business days.

After the initial 30 days, refunds are not available for monthly plans. However, annual plans may be eligible for a prorated refund within 60 days of payment, and you would need to contact support to request this.

It's important to note that receipts are not required for refund requests; your account email is sufficient to locate your transaction.","['refund-and-cancellation-policy.txt', 'zapier-terms.txt', 'zapier-terms.txt', 'refund-and-cancellation-policy.txt', 'zapier-terms.txt']",107,3370,v2,"return,30 days,receipt"
2,How do I reset my password?,how-to,"To reset your password for your Figma account, follow these steps:

1. **Log out of your Figma account.**
2. **Visit the Figma website** and click on **Log in** in the top-right corner.
3. Click the **Reset password** link.
4. Follow the on-screen instructions to request a password reset email.
5. Check your email for the password reset email and click the link provided in that email.
6. Figma will prompt you to enter a new password. Enter your new password.
7. When you next log in, you can use your email address and the new password you just set.

If you signed up using Google SSO, you will need to remove Google SSO first to set a new password.","['figma-getting-started.txt', 'figma-getting-started.txt', 'figma-getting-started.txt', 'figma-getting-started.txt', 'figma-getting-started.txt']",119,3655,v2,"reset,email,link,account"
3,What is the difference between plan A and plan B?,comparison,"The context provided does not specify what ""plan A"" and ""plan B"" refer to. However, it does mention three plans offered by Zapier: Starter, Pro, and Enterprise. 

- The **Starter plan** is free and includes up to 3 users, 5GB of cloud storage, and email support, but does not include API access or advanced integrations.

If you can clarify what ""plan A"" and ""plan B"" refer to, I can provide a more specific comparison. Otherwise, based on the available information, I can only summarize the features of the Starter plan.","['zapier-terms.txt', 'zapier-terms.txt', 'pricing-and-plans.txt', 'zapier-terms.txt', 'zapier-terms.txt']",90,2482,v2,"price,features,storage,users"
4,Can I use the product offline?,technical,"Yes, the desktop app supports limited offline access. You can view and edit previously synced content without an internet connection. Any changes you make while offline will automatically sync when you reconnect to the internet.","['security-and-data-storage.txt', 'technical-features.txt', 'security-and-data-storage.txt', 'technical-features.txt', 'zapier-terms.txt']",35,1260,v2,"offline,sync,internet,download"
5,How do I contact support?,contact,"You can contact support in several ways:

1. **Phone Support**: Available only for Enterprise plan customers. You will receive a dedicated support number in your welcome email.

2. **Live Chat**: Accessible inside the app during support hours (Monday through Friday, 9am to 6pm Eastern Time). Click the chat icon in the bottom right corner to start a conversation with a support agent.

3. **Email Support**: Available 24/7 at support@company.com. You can expect a response within one business day. For urgent billing issues, make sure to include ""URGENT"" in the subject line.

4. **Help Center**: You can browse our help center at help.company.com for instant answers to common questions.

5. **Community Forum**: Visit community.company.com for peer support at any time.

If you need a member of the support team to respond to you, you can also send a note to feedback@slack.com.","['support-and-contact.txt', 'support-and-contact.txt', 'slack-getting-started.txt', 'slack-billing.txt', 'figma-privacy.txt']",140,4014,v2,"email,phone,chat,hours"
6,Is there a free trial available?,pricing,"Yes, there is a 14-day free trial available for the Pro plan, and no credit card is required to start. After the trial ends, you will be prompted to enter payment details to continue using the Pro plan. If you do not upgrade, your account will automatically move to the free Starter plan.","['pricing-and-plans.txt', 'pricing-and-plans.txt', 'zapier-terms.txt', 'refund-and-cancellation-policy.txt', 'pricing-and-plans.txt']",53,2244,v2,"trial,free,14 days,credit card"
7,How do I cancel my subscription?,policy,"To cancel your subscription, follow these steps:

1. Go to **Settings**.
2. Select **Billing**.
3. Click on **Cancel Plan**.

Your account will remain active until the end of the current billing period, and you will not be charged again after cancellation. Please note that you cannot pause a subscription, but if you need to reduce costs temporarily, you can downgrade to the Starter free plan and upgrade again later. Your data will be retained for 90 days after cancellation.","['refund-and-cancellation-policy.txt', 'zapier-terms.txt', 'zapier-terms.txt', 'zapier-terms.txt', 'refund-and-cancellation-policy.txt']",79,2651,v2,"cancel,billing,refund,account"
8,What file formats are supported?,technical,"The supported file formats for importing are:

- CSV (.csv)
- Excel (.xlsx)
- PDF (.pdf)
- Plain text files
- HTML (.html)
- ZIP (.zip)

Additionally, you can import data from various apps such as Confluence, Asana, Evernote, and Trello. You can export your data at any time in CSV or JSON format.","['security-and-data-storage.txt', 'technical-features.txt', 'notion-import-data.txt', 'notion-import-data.txt', 'notion-import-data.txt']",54,2011,v2,"PDF,CSV,Excel,import"
9,How many users can share one account?,pricing,"The number of users that can share one account depends on the plan:

- The **Starter plan** supports up to **3 users**.
- The **Pro plan** supports **unlimited users**.
- The **Enterprise plan** also supports **unlimited users** with advanced permission controls.

So, if you are on the Starter plan, a maximum of 3 users can share the account, while the Pro and Enterprise plans allow for unlimited users.","['team-and-users.txt', 'pricing-and-plans.txt', 'team-and-users.txt', 'figma-privacy.txt', 'pricing-and-plans.txt']",68,2467,v2,"users,seats,team,plan"
10,Where is my data stored?,technical,"The storage location of your data depends on the region you select when creating your workspace. You have the option to choose between the United States and the European Union for your data storage. 

However, it's important to note that certain information is always stored in the United States, regardless of your selected region. This includes:
- Information about the workspace
- All user account information
- User-created API keys used for authentication

Additionally, notification emails sent to workspace users are stored in the U.S. for 7 days by the email sending partner. 

Once you select a data region during workspace creation, that choice is permanent and cannot be changed later.","['linear-security.txt', 'linear-security.txt', 'linear-security.txt', 'security-and-data-storage.txt', 'technical-features.txt']",111,2711,v2,"server,cloud,region,encrypted"
11,Can I return an item without a receipt?,policy,"Receipts are not required for refund requests. You can return an item by simply providing your account email, which will allow us to locate your transaction.","['refund-and-cancellation-policy.txt', 'zapier-terms.txt', 'refund-and-cancellation-policy.txt', 'zapier-terms.txt', 'figma-privacy.txt']",26,944,v2,"return,receipt,exchange,policy"
12,How long does it take to process a refund?,policy,Refunds are processed and returned to the original payment method within 5 to 10 business days after your request is approved.,"['refund-and-cancellation-policy.txt', 'refund-and-cancellation-policy.txt', 'zapier-terms.txt', 'figma-privacy.txt', 'zapier-terms.txt']",21,910,v2,"refund,processing,time,business days"
13,I forgot my password what should I do?,how-to,"If you forgot your password for your Figma account, follow these steps to reset it:

1. Log out of your Figma account.
2. Visit the Figma website and click on ""Log in"" in the top-right corner.
3. Click the ""Reset password"" link.
4. Follow the on-screen instructions to request a password reset email.
5. Check your email for the password reset link and click on it.
6. Figma will prompt you to enter a new password. Create a new password.
7. When you next log in, you can use your Gmail address and the new password you just set.

If you signed up using Google SSO, you will need to remove Google SSO first to set a new password. In that case, follow the steps to request a password reset, and then you can change your email address and password in your account settings after logging in with the new password.","['figma-getting-started.txt', 'figma-getting-started.txt', 'figma-getting-started.txt', 'figma-getting-started.txt', 'figma-getting-started.txt']",151,3592,v2,"reset,password,email,link"
14,How can I change my account email?,how-to,"To change your account email in Figma, follow these steps:

1. **Log in to your Figma account.**
2. **Open the file browser** and click your profile in the top-left corner to open the account menu.
3. **Select Settings** to open the settings modal.
4. **Go to the Account tab** to update your details.
5. **Click Change email** underneath your current email address.
6. **Enter your new email address** and follow any additional prompts.
7. **Click Save** to apply your changes.

**Important Note:** If you signed up using Google SSO (Single Sign-On), your email address is managed by Google, and you cannot change it directly in Figma. In that case, you would need to remove Google SSO by requesting a password reset and setting a new password. After that, you can log in with your email and new password, and then change your email address in Figma.

If you no longer have access to the email address you used to create your Figma account, you will need to contact Figma Support for assistance.","['figma-getting-started.txt', 'figma-getting-started.txt', 'figma-getting-started.txt', 'figma-getting-started.txt', 'figma-getting-started.txt']",172,4924,v2,"update,email,account,settings"
15,Which plan is best for small teams?,comparison,"For small teams, the **Pro plan** is the best option. It supports unlimited users, which is beneficial as your team grows, and includes 100GB of cloud storage, live chat support, API access, and priority email support. The Pro plan costs $12 per user per month (or $10 per user per month if billed annually). Additionally, there is a 14-day free trial available, allowing you to test the features before committing. 

While the **Starter plan** is free and supports up to 3 users, it has limitations such as only 5GB of cloud storage and no API access or advanced integrations, which may not be sufficient for a growing small team.","['pricing-and-plans.txt', 'team-and-users.txt', 'figma-plans.txt', 'pricing-and-plans.txt', 'pricing-and-plans.txt']",109,2264,v2,"plan,team,users,features"
16,Do plans include cloud storage?,comparison,"Yes, the plans include cloud storage. Here are the details:

- **Starter Plan**: Includes 5GB of cloud storage.
- **Pro Plan**: Includes 100GB of cloud storage.
- **Enterprise Plan**: Includes unlimited storage.

If you have any further questions about the plans or storage options, feel free to ask!","['pricing-and-plans.txt', 'pricing-and-plans.txt', 'pricing-and-plans.txt', 'team-and-users.txt', 'technical-features.txt']",48,3956,v2,"storage,cloud,plan,features"
17,Does the app work without internet?,technical,"Yes, the desktop app supports limited offline access. You can view and edit previously synced content without an internet connection. Any changes you make while offline will automatically sync when you reconnect to the internet.","['security-and-data-storage.txt', 'technical-features.txt', 'security-and-data-storage.txt', 'technical-features.txt', 'security-and-data-storage.txt']",35,1035,v2,"offline,mode,sync,internet"
18,Will my data sync automatically?,technical,"Yes, your data will sync automatically across devices in real time. The sync process uses end-to-end encryption for security. If a sync conflict occurs, the most recent change will be kept, and you will be notified of the conflict.","['security-and-data-storage.txt', 'technical-features.txt', 'security-and-data-storage.txt', 'technical-features.txt', 'security-and-data-storage.txt']",39,1687,v2,"sync,automatic,cloud,update"
19,What are your support hours?,contact,"Our support team is available Monday through Friday, from 9am to 6pm Eastern Time.","['support-and-contact.txt', 'support-and-contact.txt', 'slack-billing.txt', 'slack-getting-started.txt', 'figma-privacy.txt']",14,927,v2,"support,hours,availability,timezone"
20,Is live chat support available?,contact,"Yes, live chat support is available inside the app during support hours, which are Monday through Friday, from 9am to 6pm Eastern Time. To start a conversation with a support agent, click the chat icon in the bottom right corner of the app.","['support-and-contact.txt', 'support-and-contact.txt', 'slack-getting-started.txt', 'slack-billing.txt', 'technical-features.txt']",43,1528,v2,"chat,live,support,agent"
21,Do I need a credit card for the free trial?,pricing,"No, you do not need a credit card to start the 14-day free trial. It is available without requiring any payment information. However, after the trial ends, you will be prompted to enter payment details to continue using the service.","['pricing-and-plans.txt', 'figma-privacy.txt', 'refund-and-cancellation-policy.txt', 'team-and-users.txt', 'zapier-terms.txt']",40,1402,v2,"trial,credit card,free,signup"
22,What happens after the trial ends?,pricing,"After the trial ends, if you have a Zapier paid plan, it will automatically convert to a free plan at the end of your Subscription Term. This will continue until you choose to delete your Zapier Account. It's important to note that simply requesting to cancel your paid plan or close your account through email, chat, or phone does not constitute a cancellation or termination of your account.","['zapier-terms.txt', 'zapier-terms.txt', 'zapier-terms.txt', 'figma-privacy.txt', 'figma-privacy.txt']",68,2149,v2,"trial,upgrade,billing,subscription"
23,Can I pause my subscription instead of canceling?,policy,"No, you cannot pause your subscription. If you need to reduce costs temporarily, you can consider downgrading to the Starter free plan and then upgrade again later.","['refund-and-cancellation-policy.txt', 'zapier-terms.txt', 'zapier-terms.txt', 'zapier-terms.txt', 'zapier-terms.txt']",27,1024,v2,"pause,subscription,billing,account"
24,Will I get a refund if I cancel early?,policy,"If you cancel your subscription within the first 30 days of your first payment, you are eligible for a full refund. To request this refund, you need to contact billing@company.com, and it will be processed back to your original payment method within 5 to 10 business days.

If you cancel after the 30-day period, refunds are not available for monthly plans. However, if you have an annual plan, you may be eligible for a prorated refund if you cancel within 60 days. In that case, you would need to contact support to request the prorated refund.

Remember, your account will remain active until the end of the current billing period after you cancel, and you will not be charged again.","['refund-and-cancellation-policy.txt', 'zapier-terms.txt', 'refund-and-cancellation-policy.txt', 'zapier-terms.txt', 'refund-and-cancellation-policy.txt']",120,3393,v2,"refund,cancel,policy,billing"
